"species","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Curve-billed Thrasher",0.6,-0.4,1.7,0.14,-0.6,-1,-0.3,-0.1,-1,1
"Dark-eyed Junco",0.1,-0.6,0.9,0.42,-1.3,-1.5,-1,-1.2,-1.8,-0.5
"Dickcissel",2.1,0.9,3.4,0,-0.7,-1,-0.4,1.4,0.4,2.5
"Double-crested Cormorant",1.2,-0.6,3.6,0.1,4,3.1,4.7,5.2,3.6,7.1
"Dovekie",-2.4,-10.1,2.2,0.79,-1.1,-3.5,1.6,-3.5,-10,0.6
"Downy Woodpecker",-0.3,-0.8,0.1,0.92,0.1,0,0.2,-0.2,-0.7,0.2
"Dunlin",-0.3,-3.9,2.3,0.57,-2.5,-3.6,-1.3,-2.8,-5.9,-0.5
"Dusky Flycatcher",0,-1.2,1.2,0.51,-0.6,-1,-0.1,-0.6,-1.6,0.5
"Dusky Grouse",0.2,-1.7,2.4,0.42,1.4,0.5,2.2,1.6,-0.2,3.4
"Eared Grebe",0.5,-1.7,4,0.35,1.3,-0.1,2.4,1.8,-0.3,4.8
"Eastern Bluebird",-1.2,-2.2,-0.1,0.99,1.7,1.5,2,0.5,-0.4,1.4
"Eastern Kingbird",0,-0.4,0.5,0.51,-1.2,-1.3,-1,-1.2,-1.5,-0.7
"Eastern Meadowlark",0.6,0.1,1.2,0.02,-3.3,-3.5,-3.2,-2.7,-3.2,-2.1
"Eastern Phoebe",0.1,-0.9,1.1,0.46,0.4,0,0.7,0.5,-0.4,1.4
"Eastern Screech-Owl",0.5,-0.5,1.7,0.18,-0.9,-1.3,-0.5,-0.4,-1.3,0.6
"Eastern Towhee",0.6,0.1,1.1,0.01,-1.4,-1.6,-1.3,-0.9,-1.3,-0.4
"Eastern Whip-poor-will",0.3,-0.4,1.4,0.21,-2.8,-3,-2.5,-2.4,-3.2,-1.5
"Eastern Wood-Pewee",0.4,0,0.8,0.02,-1.4,-1.5,-1.3,-1,-1.4,-0.6
"Emperor Goose",2.4,-0.7,6.5,0.08,-0.8,-2.4,0.7,1.6,-0.8,4.6
"Eurasian Collared-Dove",-11.9,-14.9,-8.8,1,32.5,30,34.7,20.6,18.8,22.3
"Eurasian Tree Sparrow",0,-2.7,3,0.48,5.7,4.6,6.8,5.8,3.1,8.5
"European Starling",0.1,-0.3,0.5,0.27,-1.5,-1.6,-1.3,-1.3,-1.7,-1
"Evening Grosbeak",0.6,-1,3.4,0.35,-5.1,-5.7,-4.5,-4.4,-5.9,-1.9
"Ferruginous Hawk",0.2,-0.6,1.1,0.34,0.9,0.6,1.2,1,0.3,1.8
"Field Sparrow",0.4,-0.3,1.1,0.11,-2.4,-2.6,-2.2,-2,-2.6,-1.3
"Fish Crow",0.4,-0.3,1.4,0.14,0.4,0.2,0.7,0.9,0.2,1.7
"Forster's Tern",1.4,-0.6,4.4,0.11,-1.5,-2.3,-0.7,-0.1,-1.9,2.4
"Fox Sparrow",0.1,-1.3,1.7,0.46,-1.2,-1.9,-0.6,-1.1,-2.4,0.2
"Franklin's Gull",1.9,-0.8,6.7,0.15,-2.1,-3.3,-0.9,-0.2,-2.8,4.1
"Fulvous Whistling-Duck",0.3,-2.4,3.7,0.42,4.1,2.6,5.4,4.4,1.7,7.5
"Gadwall",2.7,0.8,4.5,0,1.4,1,1.9,4.1,2.5,5.8
"Gambel's Quail",0.1,-1.3,1.6,0.44,-0.3,-0.9,0.3,-0.2,-1.4,1
"Gila Woodpecker",0.1,-1.5,1.9,0.44,-0.4,-1.1,0.2,-0.3,-1.7,1.2
"Gilded Flicker",0.1,-1.8,2.4,0.46,-0.9,-1.8,-0.1,-0.8,-2.5,1.2
"Glaucous-winged Gull",0.1,-2.4,3.1,0.47,-0.5,-1.7,0.6,-0.4,-2.7,2.1
"Glaucous Gull",-1.1,-6.5,4,0.69,-2.4,-4.4,-0.1,-3.5,-7.9,1.1
"Glossy Ibis",1.9,-2,8.2,0.22,4.8,2.6,6.5,6.6,2.6,11.8
"Golden-crowned Kinglet",0.4,-0.6,1.9,0.24,-0.7,-1.1,-0.3,-0.2,-1.1,1
"Golden-crowned Sparrow",-0.1,-5.8,5.1,0.51,-1.1,-4.2,2.2,-1.2,-5.1,2.4
"Golden-fronted Woodpecker",0.2,-0.8,1.5,0.32,-0.9,-1.3,-0.5,-0.7,-1.6,0.4
"Golden-winged Warbler",1.6,-0.1,3.8,0.04,-2.7,-3.2,-2.2,-1.1,-2.7,0.9
"Golden Eagle",0.2,-0.5,0.9,0.29,0.1,-0.2,0.3,0.2,-0.4,0.9
"Grace's Warbler",0.8,-1,4,0.24,-2.9,-3.9,-2,-2.1,-3.9,0.7
"Grasshopper Sparrow",0.8,0,1.9,0.03,-2.7,-3.1,-2.5,-1.9,-2.7,-1
"Gray-cheeked Thrush",1.3,-2.9,7.5,0.31,-0.7,-4,2.2,0.6,-2.6,4.5
"Gray Catbird",0.5,0.1,0.9,0.01,-0.1,-0.2,0.1,0.5,0.1,0.8
"Gray Flycatcher",0.1,-1.2,1.4,0.45,2.1,1.6,2.6,2.2,1,3.3
"Gray Kingbird",0.2,-5.5,6.9,0.5,0.5,-3.1,4.2,0.6,-3.5,5.7
"Gray Partridge",0.1,-2,2.2,0.45,-1,-1.5,-0.4,-0.8,-2.6,1
"Gray Vireo",0.4,-1.4,2.8,0.37,3.9,3,4.7,4.3,2.7,6.3
"Great-tailed Grackle",1.1,-0.6,3.3,0.11,2.1,1.5,2.6,3.1,1.5,5.2
"Great Black-backed Gull",0.7,-2,5.2,0.35,-2.5,-4,-1.2,-1.8,-4.4,1.9
"Great Blue Heron",0.1,-0.4,0.5,0.38,0.6,0.5,0.7,0.7,0.3,1.1
"Great Crested Flycatcher",0.2,-0.2,0.6,0.14,0,-0.1,0.1,0.2,-0.2,0.5
"Great Egret",0.7,-0.5,2,0.12,2.3,1.9,2.7,3,1.8,4.2
"Great Gray Owl",0.1,-3.9,4.4,0.49,2.4,0.1,4.7,2.4,-0.4,5.4
"Great Horned Owl",0.4,-0.1,1.1,0.07,-0.4,-0.5,-0.2,0.1,-0.4,0.7
"Greater Prairie-Chicken",2.3,-1.9,8.5,0.17,3.4,1.2,5.2,5.7,1.7,10.9
"Greater Roadrunner",0.8,-0.4,3,0.11,0.8,0.3,1.1,1.6,0.5,3.7
"Greater Sage-Grouse",0.9,-1.4,4,0.24,-2.3,-3.3,-1.3,-1.4,-3.5,1.4
"Greater Scaup",1,-1.4,5.5,0.27,-1.4,-2.7,-0.1,-0.3,-2.7,3.4
"Greater White-fronted Goose",-1.4,-5.7,2.6,0.75,0.5,-5.3,6.5,-0.9,-4.1,2.7
"Greater Yellowlegs",-0.9,-3.9,0.9,0.78,0.7,-0.1,1.6,-0.2,-2.8,1.5
"Green-tailed Towhee",0.4,-0.5,1.5,0.23,-0.5,-0.8,-0.1,-0.1,-0.9,0.9
"Green-winged Teal",2,0.4,4.1,0.01,1,0.5,1.5,3.1,1.6,4.8
"Green Heron",0.1,-0.4,0.5,0.37,-1.8,-2,-1.7,-1.8,-2.1,-1.3
"Green Jay",1.1,-1.6,5.5,0.24,7.6,6.4,8.7,8.8,6.1,12.7
"Groove-billed Ani",0.3,-1.8,3.1,0.39,-1.2,-2.2,-0.2,-0.9,-2.8,1.5
"Gull-billed Tern",0.7,-2.9,5.9,0.38,0.8,-0.8,2.6,1.5,-1.8,6.1
"Gyrfalcon",0.4,-1,2.2,0.3,-0.7,-1.4,-0.1,-0.3,-1.6,1.1
"Hairy Woodpecker",0.1,-0.3,0.6,0.26,0.8,0.7,1,1,0.6,1.4
"Hammond's Flycatcher",-0.2,-1.3,0.8,0.62,0.6,0.2,0.9,0.4,-0.6,1.3
"Harlequin Duck",0.1,-2.6,2.9,0.46,-0.4,-1.6,0.8,-0.3,-2.7,2
"Harris's Hawk",0.1,-1.4,1.8,0.42,-1.5,-2.1,-0.9,-1.4,-2.7,0
"Harris's Sparrow",0.4,-0.9,2,0.31,-1.9,-2.3,-1.4,-1.5,-2.6,0
"Henslow's Sparrow",4.9,2.3,7.5,0,-1.7,-2.3,-1,3.3,0.9,5.5
"Hepatic Tanager",0.7,-1,2.6,0.2,2.7,2.1,3.3,3.4,1.8,5.2
"Hermit Thrush",-0.2,-1.2,0.5,0.66,0.3,0.1,0.6,0.1,-0.8,0.8
"Hermit Warbler",0,-1.3,1.2,0.5,-0.2,-0.7,0.2,-0.3,-1.4,0.9
"Herring Gull",0.5,-1.3,3,0.34,-3.8,-4.7,-3,-3.4,-4.9,-1.1
"Hoary Redpoll",1.8,-2.1,8.9,0.25,1.8,-0.1,3.6,3.6,-0.1,9.6
"Hooded Merganser",0.1,-1.6,1.8,0.47,4.6,4,5.3,4.7,3.1,6.2
"Hooded Oriole",1,-0.5,2.9,0.11,1.1,0.5,1.6,2,0.8,3.7
"Hooded Warbler",-0.3,-1.3,0.6,0.69,1.4,1.1,1.7,1.1,0.2,1.9
"Horned Grebe",1.4,-0.4,3.9,0.07,-1.6,-2.3,-1,-0.2,-1.9,1.9
"Horned Lark",0.4,-0.6,1.3,0.17,-2.4,-2.7,-2.2,-2,-2.9,-1.2
